ArtNr;Produkt;Menge;Kategorie;USt %;EK netto €;VK netto €;VK brutto € (Automat);App-Preis € (−5 %);Wareneinsatzquote %;Hinweis
126409;Airwaves Cool Cassis Dragees;50St;Süßes;19;1,79;5,1261;6,10;5,79;34,9;
328388;Balisto Yoberry halal, UTZ-zertifiziert;37 g;Snacks & Süßes;7;0,47;1,4019;1,50;1,42;33,5;
50920;BiFi Currywurst;60 g;Snacks & Süßes;7;0,89;2,6168;2,80;2,66;34,0;
294912;BiFi Original;20 g;Snacks & Süßes;7;0,49;1,4019;1,50;1,42;35,0;
116385;BiFi Roll;45g;Snacks & Süßes;7;0,99;2,8972;3,10;2,94;34,2;
255668;BiFi Roll Turkey;45 g;Snacks & Süßes;7;0,99;2,8972;3,10;2,94;34,2;
821065;Bio Honigwaffeln;75 g;Snacks & Süßes;7;2,19;6,2617;6,70;6,37;35,0;
18020;BOUNTY;57 g;Snacks & Süßes;7;0,75;2,1495;2,30;2,18;34,9;
958867;Bytes;50 g;Snacks & Süßes;7;0,79;2,3364;2,50;2,38;33,8;
324474;Capri Sun Multivitamin;0,2 l;Getränke;19;0,30;0,9244;1,10;1,04;32,5;
926708;Capri Sun Orange;0,2 l;Getränke;19;0,30;0,9244;1,10;1,04;32,5;
130950;Capri-Sun Kirsche;0,2 l;Getränke;19;0,30;0,9244;1,10;1,04;32,5;
337725;Cheez-It Cheese und Chili;40 g;Snacks & Süßes;7;0,89;2,6168;2,80;2,66;34,0;
367055;Cheez-It Double Cheese;40 g;Snacks & Süßes;7;0,89;2,6168;2,80;2,66;34,0;
809999;Chips Sea Salt;30 g;Snacks & Süßes;7;1,59;4,5794;4,90;4,66;34,7;
557184;Club-Mate;0,5 l;Getränke;19;0,69;2,0168;2,40;2,28;34,2;
126064;CLUB-MATE Granat;0,5 l;Getränke;19;0,69;2,0168;2,40;2,28;34,2;
363073;Club-Mate Ice-T Kraftstoff;0,5 l;Getränke;19;0,69;2,0168;2,40;2,28;34,2;
965150;Coca Cola;0,5 l;Getränke;19;0,75;2,1849;2,60;2,47;34,3;
165554;Coca Cola Zero;0,5 l;Getränke;19;0,75;2,1849;2,60;2,47;34,3;
20947;Color-Rado;100 g;Snacks & Süßes;7;0,64;1,8692;2,00;1,90;34,2;
487986;Cookie Crunchies;30 g;Snacks & Süßes;7;1,89;5,4206;5,80;5,51;34,9;
5586;Corny Big ´Schoko´, UTZ-zertifiziert;50 g;Snacks & Süßes;7;0,48;1,4019;1,50;1,42;34,2;
407465;Corny Big ´Schoko-Banane´, UTZ-zertifiziert;50 g;Snacks & Süßes;7;0,48;1,4019;1,50;1,42;34,2;
376527;Cristinen Multivitamin-12-Fruchtnektar;0,5 l;Getränke;19;0,65;1,9328;2,30;2,18;33,6;
856809;Crunchips Paprika;50 g;Snacks & Süßes;7;1,38;4,0187;4,30;4,08;34,3;
561099;Cup Noodles Ramen Spiced Curry;67 g;Snacks & Süßes;7;0,89;2,6168;2,80;2,66;34,0;
466593;Dr Pepper;0,33 l;Getränke;19;0,75;2,1849;2,60;2,47;34,3;
933311;Dr Pepper Vanilla Float;0,33 l;Getränke;19;0,75;2,1849;2,60;2,47;34,3;
914819;Dr Pepper Zero;0,33 l;Getränke;19;0,75;2,1849;2,60;2,47;34,3;
98767;Duplo;2St;Snacks & Süßes;7;0,59;1,7757;1,90;1,80;33,2;
56326;effect® High Quality Energy Drink;0,33 l;Getränke;19;0,71;2,1008;2,50;2,38;33,8;
546911;Erdbeeren ´Primavera´;100 g;Snacks & Süßes;7;0,64;1,8692;2,00;1,90;34,2;
532518;Erdnüsse;50 g;Snacks & Süßes;7;0,51;1,4953;1,60;1,52;34,1;
510617;Evian Premium Mineralwasser Naturelle;0,5 l;Getränke;19;0,59;1,7647;2,10;1,99;33,4;
744452;Fanta Orange;0,5 l;Getränke;19;0,75;2,1849;2,60;2,47;34,3;
88107;Fisherman´s Friend Eucalyptus;25 g;Snacks & Süßes;7;0,89;2,6168;2,80;2,66;34,0;
721408;FUZE TEA Schwarzer TEE Pfirisich-Hibiskus PET DPG;0,4 l;Getränke;19;0,71;2,1008;2,50;2,38;33,8;
180308;Fuze Tea Schwarzer Tee Pfirsich;0,4 l;Getränke;19;0,71;2,1008;2,50;2,38;33,8;
417348;Gob Smackers Kinobox - Fruchtbonbons;120 g;Snacks & Süßes;7;1,49;4,2991;4,60;4,37;34,7;
110464;Goldbären;100 g;Snacks & Süßes;7;0,64;1,8692;2,00;1,90;34,2;
908498;Goldbären mini;75 g;Snacks & Süßes;7;0,64;1,8692;2,00;1,90;34,2;
110600;Hanuta;2St;Snacks & Süßes;7;0,45;1,3084;1,40;1,33;34,4;
259194;Happy Cola;100 g;Snacks & Süßes;7;0,64;1,8692;2,00;1,90;34,2;
478585;Heineken Pils;0,33 l;Getränke (Alkohol);19;0,81;2,3529;2,80;2,66;34,4;EK als 1/6 Gebinde angenommen — prüfen!
410438;Jack Daniel´s & Coca Cola;0,33 l;Getränke (Alkohol);19;1,85;5,2941;6,30;5,98;34,9;
854610;Kakao-Drink 0,1%;0,5 l;Getränke;7;0,69;2,0561;2,20;2,09;33,6;
394780;Kinder Riegel 2er;2St;Snacks & Süßes;7;0,59;1,7757;1,90;1,80;33,2;
79498;KitKat;41,5 g;Snacks & Süßes;7;0,55;1,5888;1,70;1,61;34,6;
836944;KitKat Chunky;40 g;Snacks & Süßes;7;0,55;1,5888;1,70;1,61;34,6;
463042;KitKat Chunky Funky;40 g;Snacks & Süßes;7;0,55;1,5888;1,70;1,61;34,6;
836869;KitKat Chunky White;40 g;Snacks & Süßes;7;0,55;1,5888;1,70;1,61;34,6;
516775;Kluth Fit Food Protein Mix;50 g;Snacks & Süßes;7;2,19;6,2617;6,70;6,37;35,0;
335787;Knoppers;25 g;Snacks & Süßes;7;0,23;0,9346;1,00;0,95;24,6;
20954;Konfekt;100 g;Snacks & Süßes;7;0,59;1,7757;1,90;1,80;33,2;
894545;Lay´s Chips gesalzen;150 g;Snacks & Süßes;7;1,39;4,0187;4,30;4,08;34,6;
318721;Lindt Hello Mini Sticks Mix;120 g;Snacks & Süßes;7;2,69;7,7570;8,30;7,89;34,7;
765046;Lion 2Pack;2St;Snacks & Süßes;7;0,69;2,0561;2,20;2,09;33,6;
979121;M&M`s Crispy;36 g;Snacks & Süßes;7;0,51;1,4953;1,60;1,52;34,1;
