
Artikel;Menge;Größe;EK je Stk.;EK je Stk. (netto);NK (Strom, Wasser);VKP je Stk. Brutto;USt;Rohertrag;Marge;Szenario 5 % Dauerrabatt (brutto);USt 5% Dauerrabatt;Nettoerlös 5% Dauerrabatt;Rohertrag 5%;Marge 5%
Arizona Eistee Pfirisich;1;0,5 l;1,04 €;0,87 €;0,15 €;2,20 €;0,35 €;0,82 €;44,61%;2,09 €;0,33 €;1,76 €;0,73 €;41,70%
Arizona Green Tea;1;0,5 l;1,04 €;0,87 €;0,15 €;2,20 €;0,35 €;0,82 €;44,61%;2,09 €;0,33 €;1,76 €;0,73 €;41,70%
Ben & Jerry;1;;4,44 €;3,73 €;0,15 €;5,80 €;0,93 €;0,99 €;20,37%;5,51 €;0,88 €;4,63 €;0,75 €;16,18%
BIFI Carazza;16;;1,46 €;1,23 €;0,15 €;2,50 €;0,40 €;0,72 €;34,29%;2,38 €;0,38 €;2,00 €;0,62 €;30,83%
BIFI XXL;30;;1,26 €;1,06 €;0,15 €;2,00 €;0,32 €;0,47 €;28,04%;1,90 €;0,30 €;1,60 €;0,39 €;24,25%
Bueno;10;;0,35 €;0,30 €;0,15 €;1,00 €;0,16 €;0,39 €;46,95%;0,95 €;0,15 €;0,80 €;0,35 €;44,16%
Bueno Eis;4;;0,75 €;0,63 €;0,15 €;1,80 €;0,29 €;0,73 €;48,56%;1,71 €;0,27 €;1,44 €;0,66 €;45,85%
Calippo Cola;5;;0,77 €;0,65 €;0,15 €;1,50 €;0,24 €;0,47 €;36,90%;1,43 €;0,23 €;1,20 €;0,40 €;33,58%
Calippo orange;5;;0,77 €;0,65 €;0,15 €;1,50 €;0,24 €;0,47 €;36,90%;1,43 €;0,23 €;1,20 €;0,40 €;33,58%
Cappuccino;1;;0,38 €;0,32 €;0,18 €;2,20 €;0,35 €;1,35 €;72,99%;2,09 €;0,33 €;1,76 €;1,26 €;71,57%
Capri;9;;0,43 €;0,36 €;0,15 €;1,20 €;0,19 €;0,50 €;49,57%;1,14 €;0,18 €;0,96 €;0,45 €;46,92%
Chipsfrish;36;;0,69 €;0,58 €;0,15 €;1,20 €;0,19 €;0,28 €;27,28%;1,14 €;0,18 €;0,96 €;0,22 €;23,45%
Cola;1;0,5 l;0,89 €;0,75 €;0,15 €;2,30 €;0,37 €;1,03 €;53,54%;2,19 €;0,35 €;1,84 €;0,94 €;51,10%
Cola Zero;1;0,5 l;0,89 €;0,75 €;0,15 €;2,30 €;0,37 €;1,03 €;53,54%;2,19 €;0,35 €;1,84 €;0,94 €;51,10%
Cornetto Pistazie;24;;1,64 €;1,38 €;0,15 €;2,50 €;0,40 €;0,57 €;27,16%;2,38 €;0,38 €;2,00 €;0,47 €;23,33%
double Espresso;1;;0,35 €;0,29 €;0,15 €;2,20 €;0,35 €;1,40 €;75,98%;2,09 €;0,33 €;1,76 €;1,31 €;74,71%
Durstlöscher;36;;0,64 €;0,54 €;0,15 €;1,50 €;0,24 €;0,57 €;45,27%;1,43 €;0,23 €;1,20 €;0,51 €;42,39%
Espresso;1;;0,28 €;0,24 €;0,18 €;1,30 €;0,21 €;0,68 €;61,98%;1,24 €;0,20 €;1,04 €;0,62 €;59,98%
Fanta;1;0,5 l;0,89 €;0,75 €;0,15 €;2,30 €;0,37 €;1,03 €;53,54%;2,19 €;0,35 €;1,84 €;0,94 €;51,10%
Flutschfinger;35;;0,75 €;0,63 €;0,15 €;1,50 €;0,24 €;0,48 €;38,00%;1,43 €;0,23 €;1,20 €;0,42 €;34,74%
Gönrgy Apfelringe Zucker;24;0,5 l;1,70 €;1,43 €;0,15 €;3,00 €;0,48 €;0,94 €;37,24%;2,85 €;0,46 €;2,39 €;0,81 €;33,94%
Gönrgy Boost Berries;24;0,5 l;1,70 €;1,43 €;0,15 €;3,00 €;0,48 €;0,94 €;37,24%;2,85 €;0,46 €;2,39 €;0,81 €;33,94%
Gönrgy Paradise Punch;24;0,5 l;1,70 €;1,43 €;0,15 €;3,00 €;0,48 €;0,94 €;37,24%;2,85 €;0,46 €;2,39 €;0,81 €;33,94%
Gönrgy Sweet & Candies;24;0,5 l;1,70 €;1,43 €;0,15 €;3,00 €;0,48 €;0,94 €;37,24%;2,85 €;0,46 €;2,39 €;0,81 €;33,94%
Hägen Dazs;1;;3,49 €;2,93 €;0,15 €;5,00 €;0,80 €;1,12 €;26,63%;4,75 €;0,76 €;3,99 €;0,91 €;22,77%
Haribo Cola;1;;0,80 €;0,67 €;0,15 €;1,50 €;0,24 €;0,44 €;34,59%;1,43 €;0,23 €;1,20 €;0,37 €;31,15%
Haribo Goldbären;1;;0,80 €;0,67 €;0,15 €;1,50 €;0,24 €;0,44 €;34,59%;1,43 €;0,23 €;1,20 €;0,37 €;31,15%
Hexenkerze;8;;0,25 €;0,21 €;0,15 €;1,00 €;0,16 €;0,48 €;57,28%;0,95 €;0,15 €;0,80 €;0,44 €;55,03%
Kaffee;1;;0,39 €;0,33 €;0,18 €;1,80 €;0,29 €;1,00 €;66,43%;1,71 €;0,27 €;1,44 €;0,93 €;64,67%
Kakako;1;;0,33 €;0,28 €;0,15 €;1,50 €;0,24 €;0,83 €;66,10%;1,43 €;0,23 €;1,20 €;0,77 €;64,32%
Kaktus Eis;9;;0,22 €;0,19 €;0,15 €;1,00 €;0,16 €;0,50 €;60,04%;0,95 €;0,15 €;0,80 €;0,46 €;57,94%
Kinder Bueno 4 Stk.;1;;1,49 €;1,25 €;0,15 €;3,50 €;0,56 €;1,54 €;52,33%;3,33 €;0,53 €;2,79 €;1,39 €;49,82%
Kinderriegel;20;;0,24 €;0,20 €;0,15 €;0,80 €;0,13 €;0,32 €;47,69%;0,76 €;0,12 €;0,64 €;0,29 €;44,93%
Kinderriegel 2 Stk.;1;;0,70 €;0,59 €;0,15 €;1,50 €;0,24 €;0,52 €;41,43%;1,43 €;0,23 €;1,20 €;0,46 €;38,35%
Kinderriegel 4 Stk.;1;;1,49 €;1,25 €;0,15 €;2,80 €;0,45 €;0,95 €;40,41%;2,66 €;0,42 €;2,24 €;0,83 €;37,27%
Knoppers Riegel;24;;0,52 €;0,44 €;0,15 €;1,00 €;0,16 €;0,25 €;29,73%;0,95 €;0,15 €;0,80 €;0,21 €;26,04%
Knoppers Riegel;5;;2,13 €;1,79 €;0,15 €;3,50 €;0,56 €;1,00 €;34,04%;3,33 €;0,53 €;2,79 €;0,85 €;30,57%
Latte Macchiato;1;;0,41 €;0,34 €;0,18 €;2,20 €;0,35 €;1,32 €;71,63%;2,09 €;0,33 €;1,76 €;1,23 €;70,13%
Lift Apfelschorle;12;1 l;0,98 €;0,82 €;0,15 €;1,80 €;0,29 €;0,54 €;35,87%;1,71 €;0,27 €;1,44 €;0,47 €;32,50%
Magnum;20;;1,59 €;1,34 €;0,15 €;2,50 €;0,40 €;0,61 €;29,20%;2,38 €;0,38 €;2,00 €;0,51 €;25,47%
Magnum Pfirsich;3;;0,83 €;0,70 €;0,15 €;2,50 €;0,40 €;1,25 €;59,66%;2,38 €;0,38 €;2,00 €;1,15 €;57,54%
